slug,name,name_genitive,capital,population,councilor_count,status,voivodeship
staszowski,staszowski,Staszowskiego,Staszów,67817,19,planned,świętokrzyskie
strzelecki,strzelecki,Strzeleckiego,Strzelce Opolskie,70763,19,planned,opolskie
strzelecko-drezdenecki,strzelecko-drezdenecki,Strzelecko-Drezdeneckiego,Strzelce Krajeńskie,46204,17,planned,lubuskie
strzelinski,strzeliński,Strzelińskiego,Strzelin,41473,17,planned,dolnośląskie
strzyzowski,strzyżowski,Strzyżowskiego,Strzyżów,58775,17,planned,podkarpackie
sulecinski,sulęciński,Sulęcińskiego,Sulęcin,33191,15,planned,lubuskie
suski,suski,Suskiego,Sucha Beskidzka,82546,21,planned,małopolskie
suwalski,suwalski,Suwalskiego,Suwałki,34585,15,planned,podlaskie
swidnicki-dolnoslaski,świdnicki,Świdnickiego,Świdnica,149312,27,planned,dolnośląskie
swidnicki-lubelski,świdnicki,Świdnickiego,Świdnik,68991,19,planned,lubelskie
swidwinski,świdwiński,Świdwińskiego,Świdwin,42754,17,planned,zachodniopomorskie
swiebodzinski,świebodziński,Świebodzińskiego,Świebodzin,53609,17,planned,lubuskie
swiecki,świecki,Świeckiego,Świecie,94358,21,planned,kujawsko-pomorskie
szamotulski,szamotulski,Szamotulskiego,Szamotuły,91631,21,planned,wielkopolskie
szczecinecki,szczecinecki,Szczecineckiego,Szczecinek,72023,19,planned,zachodniopomorskie
szczycienski,szczycieński,Szczycieńskiego,Szczytno,66133,19,planned,warmińsko-mazurskie
sztumski,sztumski,Sztumskiego,Sztum,37836,15,planned,pomorskie
szydlowiecki,szydłowiecki,Szydłowieckiego,Szydłowiec,37244,15,planned,mazowieckie
tarnobrzeski,tarnobrzeski,Tarnobrzeskiego,Tarnobrzeg,50550,17,planned,podkarpackie
tarnogorski,tarnogórski,Tarnogórskiego,Tarnowskie Góry,138856,25,planned,śląskie
tarnowski,tarnowski,Tarnowskiego,Tarnów,197119,29,planned,małopolskie
tatrzanski,tatrzański,Tatrzańskiego,Zakopane,66346,19,planned,małopolskie
tczewski,tczewski,Tczewskiego,Tczew,110511,23,planned,pomorskie
tomaszowski-lodzki,tomaszowski,Tomaszowskiego,Tomaszów Mazowiecki,109588,23,planned,łódzkie
tomaszowski-lubelski,tomaszowski,Tomaszowskiego,Tomaszów Lubelski,76155,19,planned,lubelskie
torunski,toruński,Toruńskiego,Toruń,114956,23,planned,kujawsko-pomorskie
trzebnicki,trzebnicki,Trzebnickiego,Trzebnica,87765,21,planned,dolnośląskie
tucholski,tucholski,Tucholskiego,Tuchola,46763,17,planned,kujawsko-pomorskie
turecki,turecki,Tureckiego,Turek,80513,21,planned,wielkopolskie
wabrzeski,wąbrzeski,Wąbrzeskiego,Wąbrzeźno,32155,15,planned,kujawsko-pomorskie
wadowicki,wadowicki,Wadowickiego,Wadowice,157099,27,planned,małopolskie
wagrowiecki,wągrowiecki,Wągrowieckiego,Wągrowiec,68899,19,planned,wielkopolskie
walbrzyski,wałbrzyski,Wałbrzyskiego,Wałbrzych,52275,17,planned,dolnośląskie
walecki,wałecki,Wałeckiego,Wałcz,49384,17,planned,zachodniopomorskie
warszawski-zachodni,warszawski zachodni,Warszawskiego Zachodniego,Warszawa,136493,25,planned,mazowieckie
wegorzewski,węgorzewski,Węgorzewskiego,Węgorzewo,20611,15,planned,warmińsko-mazurskie
wegrowski,węgrowski,Węgrowskiego,Węgrów,61472,19,planned,mazowieckie
wejherowski,wejherowski,Wejherowskiego,Wejherowo,230818,29,planned,pomorskie
wielicki,wielicki,Wielickiego,Wieliczka,145276,27,planned,małopolskie
wielunski,wieluński,Wieluńskiego,Wieluń,72013,19,planned,łódzkie
wieruszowski,wieruszowski,Wieruszowskiego,Wieruszów,41295,17,planned,łódzkie
wloclawski,włocławski,Włocławskiego,Włocławek,81591,21,planned,kujawsko-pomorskie
wlodawski,włodawski,Włodawskiego,Włodawa,34989,15,planned,lubelskie
wloszczowski,włoszczowski,Włoszczowskiego,Włoszczowa,42530,17,planned,świętokrzyskie
wodzislawski,wodzisławski,Wodzisławskiego,Wodzisław Śląski,149463,27,planned,śląskie
wolominski,wołomiński,Wołomińskiego,Wołomin,277725,29,planned,mazowieckie
wolowski,wołowski,Wołowskiego,Wołów,45112,17,planned,dolnośląskie
wolsztynski,wolsztyński,Wolsztyńskiego,Wolsztyn,56446,17,planned,wielkopolskie
wroclawski,wrocławski,Wrocławskiego,Wrocław,191110,29,planned,dolnośląskie
wrzesinski,wrzesiński,Wrzesińskiego,Września,78199,19,planned,wielkopolskie
wschowski,wschowski,Wschowskiego,Wschowa,37002,15,planned,lubuskie
wysokomazowiecki,wysokomazowiecki,Wysokomazowieckiego,Wysokie Mazowieckie,52834,17,planned,podlaskie
wyszkowski,wyszkowski,Wyszkowskiego,Wyszków,73179,19,planned,mazowieckie
zabkowicki,ząbkowicki,Ząbkowickiego,Ząbkowice Śląskie,59803,17,planned,dolnośląskie
zaganski,żagański,Żagańskiego,Żagań,72933,19,planned,lubuskie
zambrowski,zambrowski,Zambrowskiego,Zambrów,41109,17,planned,podlaskie
zamojski,zamojski,Zamojskiego,Zamość,100017,23,planned,lubelskie
zarski,żarski,Żarskiego,Żary,90364,21,planned,lubuskie
zawiercianski,zawierciański,Zawierciańskiego,Zawiercie,110383,23,planned,śląskie
zdunskowolski,zduńskowolski,Zduńskowolskiego,Zduńska Wola,62876,19,planned,łódzkie
zgierski,zgierski,Zgierskiego,Zgierz,165840,29,planned,łódzkie
zgorzelecki,zgorzelecki,Zgorzeleckiego,Zgorzelec,84337,21,planned,dolnośląskie
zielonogorski,zielonogórski,Zielonogórskiego,Zielona Góra,74754,19,planned,lubuskie
zlotoryjski,złotoryjski,Złotoryjskiego,Złotoryja,40213,17,planned,dolnośląskie
zlotowski,złotowski,Złotowskiego,Złotów,66975,19,planned,wielkopolskie
zninski,żniński,Żnińskiego,Żnin,67080,19,planned,kujawsko-pomorskie
zurominski,żuromiński,Żuromińskiego,Żuromin,35122,15,planned,mazowieckie
zwolenski,zwoleński,Zwoleńskiego,Zwoleń,34091,15,planned,mazowieckie
zyrardowski,żyrardowski,Żyrardowskiego,Żyrardów,74935,19,planned,mazowieckie
zywiecki,żywiecki,Żywieckiego,Żywiec,148090,27,planned,śląskie
